query,baseline_model,compared_rag_model,baseline_answer,rag_answer,reasoning,baseline_helpfulness,rag_helpfulness,rag_consistency,winner
How do I create an isolated network for my instances using the GUI?,base_openai_model_answer,model_5_answer,"On Chameleon Cloud, you can create an isolated network for your instances via the Horizon web GUI by following these steps: 1. Log in
Go to https://chi.tacc.chameleoncloud.org or your site’s Horizon dashboard URL. Log in with your Chameleon credentials.
2. Navigate to the Network section In the left-hand menu, click Network → Networks. Click Create Network. 3. Configure the network In the Create Network dialog: Network tab Name: Enter a descriptive name (e.g., my-private-net). Leave Admin State checked (enabled).
Keep Shared unchecked so only your project can use it. Subnet tab
Subnet Name: Name your subnet (e.g., my-private-subnet). Network Address: Enter the CIDR for your subnet (e.g., 192.168.100.0/24). IP Version: Select IPv4. Subnet Details tab Uncheck Enable DHCP if you want complete control of IP assignments; otherwise, leave it checked.
Leave DNS nameservers blank or enter custom ones if needed (e.g., 8.8.8.8). Click Create. 4. (Optional) Add a router for external connectivity
If you want the network to have internet access: Go to Network → Routers → Create Router. Name the router and set the External Network (often named public or similar). After creating it, click the router name, go to the Interfaces tab, and Add Interface to your subnet.
If you want true isolation (no outside connectivity), skip this step.
5. Launch instances on the new network When launching an instance, under the Networks tab, select your isolated network. Make sure you don’t attach a public network or router if you want full isolation.","To create an isolated network for your instances using the GUI, follow these steps: Go to the Networking section of the Chameleon dashboard. Click on 'Create Isolated Network' and select the VLAN ID for your isolated network. Configure the network settings as needed. This information comes from the Networking documentation page: https://docs.chameleoncloud.org/en/latest/networking.html#isolated-network-vlans","The Baseline answer provides a much more detailed and step-by-step guide for creating an isolated network, closely aligning with the Ground Truth Answer. It covers all key aspects including network creation, subnet configuration, and optional router setup. The RAG answer, while mentioning the correct section of the dashboard, lacks specificity and detail. It also incorrectly suggests selecting a VLAN ID, which isn't mentioned in the Ground Truth Answer.",5,2,2,Baseline
How do I find and use a pre-configured Jupyter notebook on Chameleon?,base_openai_model_answer,model_5_answer,"Here’s how you can find and use a pre-configured Jupyter notebook on Chameleon Cloud:1. Go to Chameleon’s JupyterHub
Visit: https://jupyter.chameleoncloud.org
Log in with your Chameleon credentials (via Globus or institutional login). 2. Launch a pre-configured environment
After logging in, you’ll see a 'Start My Server' page.
In the Server Options, select a pre-configured environment.
Examples: Python Data Science, HPC, TensorFlow, etc.
These environments already have common packages installed and are set up for Chameleon. Choose your compute site (e.g., CHI@TACC, CHI@UC) and instance type. 3. Access example notebooks
Once the Jupyter environment launches, look for:
A examples/ or notebooks/ folder in your home directory. Or click File → Open… and browse to /examples or /shared. Chameleon provides preloaded example notebooks for things like: OpenStack automation
Networking experiments Machine learning demos Hardware control
4. Run the notebook Open a notebook (.ipynb file) by clicking it.
Run cells with Shift+Enter. You can edit the notebook to fit your experiment. 5. Save your work Save your modified notebook in your home directory so it persists between sessions. You can also download it to your local machine via File → Download As → Notebook (.ipynb). Tip: If you don’t see the notebook you expect, you can also pull it from Chameleon’s GitHub repo directly inside Jupyter with:
git clone https://github.com/ChameleonCloud/notebooks.git","To find a pre-configured Jupyter notebook on Chameleon, you can go to the Chameleon portal and access the JupyterHub interface. From there, you can launch a Jupyter server with an environment pre-configured with python-chi and authentication to the testbed. This information comes from the 'Jupyter on Chameleon'section of the documentation: https://docs.chameleoncloud.org/en/latest/user/jupyterhub.html","The baseline answer provides a detailed, step-by-step guide on how to access and use Jupyter notebooks on Chameleon, but it doesn't specifically address pre-configured notebooks through Trovi as mentioned in the ground truth. The RAG answer correctly mentions the Chameleon portal and JupyterHub interface, but lacks specific details on finding pre-configured notebooks through Trovi. The RAG answer is more consistent with the ground truth in mentioning pre-configured environments, but is less helpful overall due to its brevity.",4,3,3,Baseline
"My bare metal node is stuck in the ""deploying"" state for a long time. What should I do?",base_openai_model_answer,model_5_answer,"If your bare metal node on Chameleon is stuck in ""deploying"" for much longer than usual, here’s the recommended approach: 1. Wait the normal window Bare metal provisioning typically takes 5–15 minutes, sometimes up to 30 minutes for large images. If it’s been over 30–45 minutes, it’s likely stuck. 2. Check the instance logs Go to Project → Compute → Instances in the Horizon GUI. Click your instance name → Log tab.Look for errors related to PXE boot, disk imaging, or network.
3. Try to rebuild the instance In the instance’s Actions menu, select Rebuild. Choose the same image and flavor (or try a smaller image to test). This forces the provisioning process to restart. 4. Delete and re-launch If rebuild doesn’t work: Delete the instance. Wait a few minutes so the node is fully released. Launch it again — preferably on a different node if the scheduler allows. 5. Check resource availability
Sometimes the site is under heavy load or has a faulty node. In the GUI, go to Project → Compute → Bare Metal → Nodes to see the node’s status (if you have permission). 6. Contact Chameleon Support
If it’s still stuck: Open a ticket at https://www.chameleoncloud.org/user/help/ Provide: Instance ID Reservation ID (if using a reserved node)
Time you launched it Image and flavor A short description of the problem  Tip: Sometimes a stuck ""deploying"" happens because the node didn’t properly release from a previous user’s experiment — support staff can manually reset it.","Your bare metal node is stuck in the 'deploying' state for a long time. To resolve this issue, please check if you have made a reservation for the node and if it has been successfully created. You can verify this by checking your Leases page on Chameleon. If the lease status is still 'PENDING', try waiting for some time or contact our Help Desk for assistance. This information comes from the FAQs site: https://chameleoncloud.org/faq/.","The Baseline answer provides more comprehensive and detailed steps to troubleshoot the issue, including checking logs, rebuilding the instance, and contacting support. It aligns better with the ground truth by mentioning the waiting period and contacting support. The RAG answer, while mentioning checking reservations, is less comprehensive and doesn't fully address the deploying state issue.",5,3,2,Baseline
"I get an ""Error 403: Forbidden"" when trying to use the OpenStack CLI. What's wrong?",base_openai_model_answer,model_5_answer,"On Chameleon, an ""Error 403: Forbidden"" when using the OpenStack CLI usually means your CLI is authenticating correctly but you don’t have permission to perform the requested action.
Here’s how to troubleshoot it step-by-step: 1. Check your credentials
Make sure you downloaded the correct OpenRC file for your Chameleon project and site: Go to the Horizon GUI → API Access → Download OpenStack RC File. Source it before running CLI commands:
source ~/Downloads/project-openrc.sh Enter your Chameleon password when prompted. 2. Verify your active project
You may belong to multiple projects; if you’re in the wrong one, you won’t have permissions. Run: openstack token issue
Check the project_id and project_name match your intended project.
3. Confirm your role in the project Only users with the correct role (e.g., admin, member) can run certain commands like creating networks, routers, or security groups. If you need extra permissions, contact your project PI or Chameleon support. 4. Make sure you’re using the right site Chameleon has multiple sites (CHI@TACC, CHI@UC, etc.).
If your OpenRC file points to CHI@UC, you can’t manage resources at CHI@TACC. You must download and source the RC file for the specific site. 5. Check command scope Some commands require admin privileges that are not available to standard users (e.g., listing all hypervisors). If you’re running a command that’s restricted, you’ll get 403. 6. Contact Support if all above is correct If credentials, project, site, and role are all correct, it could be: A temporary policy misconfiguration. A bug in the CLI endpoint. Open a ticket with:
Exact CLI command you ran. Full error output. Site name and project ID.","The error 'Error 403: Forbidden' when using the OpenStack CLI is not mentioned in the provided context. However, a similar issue with authentication was reported by user mcanonic on May 19, 2025, where they received an HTTP 401 error (The request you have made requires authentication). This issue was later resolved without any changes being made. This information comes from the forum discussion and here is the link to the site: https://chameleoncloud.org/forum/","The baseline answer provides a comprehensive and accurate explanation of the Error 403: Forbidden issue, including detailed troubleshooting steps. It directly addresses the user's query and aligns closely with the ground truth answer. The RAG answer, while mentioning a similar authentication issue, does not specifically address the Error 403 and provides less relevant information.",5,2,1,Baseline
"What is ""CHI-in-a-Box""?",base_openai_model_answer,model_5_answer,"CHI-in-a-Box is Chameleon Cloud’s packaged version of its Chameleon Infrastructure (CHI) that you can deploy on your own hardware.
In other words, it’s a self-contained, installable OpenStack-based testbed that reproduces the same software stack Chameleon runs at its main sites, but sized and configured for smaller, local clusters. Main purposes Reproduce Chameleon’s environment locally for development, testing, or teaching. Experiment with new hardware or network topologies without using main-site resources. Train users on the Chameleon/OpenStack workflow in a controlled setting. Key features Preconfigured to match Chameleon’s APIs and tools.
Can manage bare metal, virtual machines, and containers. Includes network isolation, image management, and reservation support. Uses Ansible playbooks for installation and configuration. Typical uses
University labs running small-scale cloud testbeds. Developers testing new CHI features before deploying to production. Researchers prototyping experiments before running them on large Chameleon nodes.","What is 'CHI-in-a-Box'? CHI-in-a-box is a packaging of the implementation of the core services that together constitute the Chameleon testbed for experimental Computer Science research. It allows users to discover information about resources, allocate them, configure them, and monitor various types of metrics. This information comes from the FAQs site: https://www.chameleoncloud.org/docs/faqs.html","The Baseline answer provides a more comprehensive explanation of CHI-in-a-Box, including its purpose, features, and typical uses. It closely aligns with the ground truth, offering additional context. The RAG answer, while accurate, is much briefer and less detailed. It mentions core services but doesn't elaborate on specific features or uses.",5,3,4,Baseline
"What does it mean for Chameleon to support ""deep reconfigurability""?",base_openai_model_answer,model_5_answer,"For Chameleon Cloud, “deep reconfigurability” means that the testbed lets you reconfigure not just software, but also low-level system and hardware components — all the way down to bare metal — so you can run experiments that would be impossible on a standard public cloud.
Key aspects Bare metal access You get full control of a physical node — no hypervisor layer between you and the hardware. Lets you modify BIOS/firmware settings, install custom kernels, or change OS images entirely. Custom networking You can design your own isolated networks, set up software-defined networking (SDN), and control routing/switching for experiments. Specialized hardware control
Access to FPGAs, GPUs, high-speed interconnects, and experimental storage devices — and the ability to reconfigure them. Software stack flexibility You’re free to install custom drivers, OS distributions, libraries, or experimental software without the restrictions typical clouds impose. Why it matters Enables systems research (e.g., new schedulers, storage stacks, or network protocols). Supports hardware–software co-design experiments. Lets researchers test ideas under realistic performance conditions, without virtualization overhead.
In short — deep reconfigurability means Chameleon isn’t just 'cloud servers you can log into.' It’s a testbed where you can reshape the entire stack — hardware through software — to fit your experiment.","According to the context, 'deep reconfigurability' refers to Chameleon's ability to provide researchers with deeply reconfigurable cloud infrastructure for systems, networking, distributed computing, and security research. This means that users can customize their experimental setup by requesting specific hardware configurations, which will be fulfilled by the Chameleon team. This information comes from the Key Features section of the documentation, specifically under 'Experimental Capabilities'. Source: https://chameleoncloud.org/docs/","The baseline answer provides a more comprehensive and detailed explanation of 'deep reconfigurability' in Chameleon, closely aligning with the ground truth. It covers key aspects like bare metal access, custom networking, hardware control, and software stack flexibility. The RAG answer, while mentioning customization, lacks the depth and specificity of the baseline answer and doesn't fully capture the essence of 'deep reconfigurability' as described in the ground truth.",5,3,2,Baseline
What is the difference between a Floating IP and a Private IP?,base_openai_model_answer,model_5_answer,"On Chameleon Cloud (and OpenStack in general), the difference between a Floating IP and a Private IP comes down to network scope and accessibility: 1. Private IP Scope: Internal to your OpenStack project’s network. Purpose: Lets instances communicate with each other inside your project (and sometimes within the site) without touching the public internet. Assigned: Automatically when you attach an instance to a private network. Accessible from: Other instances in the same network/project. Not directly reachable from the internet.
Example: 192.168.x.x or 10.x.x.x 2. Floating IP Scope: Publicly routable on the internet. Purpose: Maps a public IP to one of your instance’s private IPs so it can be accessed from outside Chameleon.
Assigned: You reserve a floating IP from the public pool and associate it with an instance. Accessible from: Anywhere on the internet (assuming security groups/firewall rules allow it). Example: 129.x.x.x (real, public IPv4) Key difference in behavior
Private IP: Like your computer’s LAN IP at home — local only.
Floating IP: Like your ISP-assigned public IP — visible to the outside world.  Tip: In Chameleon, you usually SSH into an instance using its Floating IP, but inside the cloud you connect instance-to-instance using Private IPs for lower latency and no public bandwidth usage.","A Floating IP is a publicly accessible IP address associated with an instance in Chameleon Cloud, allowing it to be accessed from outside the testbed. On the other hand, a Private IP is used for communication between instances within the same project and site. This information comes from the documentation on 'Networks' and here is the link to the site: https://docs.chameleoncloud.org/en/latest/user/issues.html#networks","The Baseline answer provides a more comprehensive explanation of the differences between Floating IP and Private IP, including their scope, purpose, assignment, and accessibility. It also offers practical examples and a helpful analogy. The RAG answer, while correct, is much briefer and less detailed. However, the RAG answer does provide a source link, which is valuable. Both answers are generally consistent with the ground truth, but the Baseline offers more depth.",5,3,4,Baseline
When should I use an FPGA node versus a GPU node?,base_openai_model_answer,model_5_answer,"Here’s the short version: use an FPGA node when you need custom, reconfigurable hardware logic, and use a GPU node when you need massively parallel numeric processing. FPGA nodes (Field-Programmable Gate Arrays) Best for: Custom hardware acceleration for specialized algorithms (e.g., encryption/decryption, packet processing, signal processing). Low-latency workloads where deterministic timing is important. Prototyping and testing new hardware architectures.
Applications where power efficiency is critical for a specific computation pattern. Why: You can program the FPGA’s logic gates to execute tasks in hardware instead of software. Ideal for non-standard workloads that can’t be efficiently expressed in GPU shaders/kernels.
Examples: real-time analytics on streaming data, networking appliances, custom AI inference logic. GPU nodes (Graphics Processing Units) Best for: Parallelizable numerical workloads like deep learning, scientific simulations, image/video processing.
High-throughput linear algebra, matrix multiplications, and floating-point calculations. Frameworks like TensorFlow, PyTorch, CUDA, or OpenCL.Why: Thousands of small cores optimized for SIMD (single instruction, multiple data) execution. Best when the computation is well-suited to batch processing large datasets in parallel.
Examples: training a neural network, rendering, large-scale fluid dynamics simulations. Rule of thumb FPGA: You need custom circuitry for specialized or unusual tasks — hardware-level customization is the priority. GPU: You need raw parallel compute power for data-heavy, math-heavy tasks — software-level programming is the priority.","You should use an FPGA node versus a GPU node when you need high-performance computing capabilities for tasks such as data processing, machine learning, or scientific simulations that require custom hardware acceleration. This information comes from the FPGAs section of the Chameleon Cloud Documentation and here is the link to the site: https://docs.chameleoncloud.org/en/latest/fpgas/index.html","The baseline answer provides a more comprehensive and detailed explanation of when to use FPGA vs GPU nodes, aligning closely with the ground truth. It offers specific use cases, advantages, and examples for both. The RAG answer, while touching on the high-performance aspect, is much more limited in scope and doesn't provide the necessary depth to fully address the query.",5,2,2,Baseline
How do I cite Chameleon in my research paper?,base_openai_model_answer,model_5_answer,"Standard Chameleon citation From the Chameleon documentation:
Kate Keahey, Pierre Riteau, Dan Stanzione, Paul Rad, Joe Mambretti, Joe Stubbs, Jason Anderson, Pierre-François Dutot, Paul Ruth, Alex Withers, Dan K. Brown, “Chameleon: a Scalable Production Testbed for Computer Science Research,” Contemporary High Performance Computing: From Petascale toward Exascale, Volume 3, Chapman and Hall/CRC Computational Science, 2018. doi:10.1201/9781315151784-1
BibTeX format @incollection{keahey2018chameleon,
  title={Chameleon: a Scalable Production Testbed for Computer Science Research}, author={Keahey, Kate and Riteau, Pierre and Stanzione, Dan and Rad, Paul and Mambretti, Joe and Stubbs, Joe and Anderson, Jason and Dutot, Pierre-François and Ruth, Paul and Withers, Alex and Brown, Dan K.}, booktitle={Contemporary High Performance Computing: From Petascale toward Exascale, Volume 3}, pages={123--148}, year={2018}, publisher={Chapman and Hall/CRC}, doi={10.1201/9781315151784-1}} Acknowledgment statement If your work used Chameleon resources, include: This research used resources of the Chameleon testbed, supported by the National Science Foundation.","To cite Chameleon in your research paper, you should use the following reference: Keahey, K., Anderson, J., Zhen, Z., Riteau, P., Ruth, P., Stanzione, D., ... & Stubbs, J. (2020). Lessons Learned from the Chameleon Testbed. In Proceedings of the 2020 USENIX Annual Technical Conference (USENIX ATC '20) (pp. 1-12). USENIX Association. You can also use the BibTex entry provided: @incollection{keahey2020lessons, title={Lessons Learned from the Chameleon Testbed}, author={Kate Keahey and Jason Anderson and Zhuo Zhen and Pierre Riteau and Paul Ruth and Dan Stanzione and Mert Cevik and Jacob Colleran and Haryadi S. Gunawi and Cody Hammock and Joe Mambretti and Alexander Barnes and Fran\c{c}ois Halbach and Alex Rocha and Joe Stubbs}, booktitle={Proceedings of the 2020 USENIX Annual Technical Conference (USENIX ATC '20)}, publisher={USENIX Association}, month={July}, year={2020} } This information comes from the FAQs site: https://chameleoncloud.org/frequently-asked-questions/","Both answers provide citation information, but the RAG model's answer is more concise and directly addresses the user's query. The RAG model provides the most recent and relevant citation, matching the ground truth answer. The baseline model offers an older citation and includes extra information about acknowledgments, which wasn't specifically asked for. However, the RAG model misses the acknowledgment part mentioned in the ground truth.",4,5,4,RAG
How do I attach a volume to my running instance?,base_openai_model_answer,model_5_answer,"Here’s how to attach a volume to a running instance on Chameleon using the Horizon GUI: 1. Create or locate your volume Go to Project → Volumes → Volumes. If you already have a volume, skip to step 2. To create one: Click Create Volume. Enter a Name, Size (GB), and optionally select a Volume Source (blank, image, snapshot).
Click Create Volume. 2. Attach the volume to your instance
Still in Project → Volumes → Volumes, find your volume in the list.
In the Actions column, click Manage Attachments. Under Attach to Instance, choose your running instance from the dropdown. Click Attach Volume. 3. Log into your instance SSH into your instance using its Floating IP. 4. Identify the volume inside the instance Run: lsblk You’ll see the new block device (e.g., /dev/vdb) that wasn’t there before. 5. Format and mount (first-time use) If it’s a brand new volume: sudo mkfs.ext4 /dev/vdb sudo mkdir /mnt/myvolume sudo mount /dev/vdb /mnt/myvolume 6. Make it persistent (optional) To automatically mount it on reboot, add an entry in /etc/fstab: echo '/dev/vdb /mnt/myvolume ext4 defaults 0 0' | sudo tee -a /etc/fstab Tip: Detaching works the same way — in Manage Attachments, select Detach Volume before deleting or reattaching it.","I don't know how to attach a volume to my running instance based on the provided context. The context only describes creating a new instance and does not mention attaching volumes. However, it mentions that advanced topics include 'volumes to python-chi' and 'new server methods for attaching the volume to an instance', but these are not elaborated upon in the provided text. However, I can suggest checking out the link below which is mentioned in the context as a resource for more information on this topic: https://chameleoncloud.org/docs/advanced-topics/volumes-to-python-chi This may provide more information on how to attach volumes to running instances.","The Baseline model provides a detailed, step-by-step guide on how to attach a volume to a running instance, which directly addresses the user's query. It includes information on creating a volume, attaching it, and even formatting and mounting it. The RAG model, on the other hand, admits to not knowing the answer based on the provided context and suggests checking an external resource. While the RAG model is honest about its limitations, it doesn't provide any useful information to answer the query.",5,1,1,Baseline
What is the maximum duration for a single lease reservation?,base_openai_model_answer,model_5_answer,"On Chameleon Cloud, the maximum duration for a single lease reservation is 7 days. After that: You can extend the lease (if resources are available) from the Horizon GUI or via the CLI. For longer-running experiments, the recommended workflow is to chain multiple reservations or periodically renew before expiration. This 7-day limit helps ensure fair access to limited bare metal and specialized hardware.","If you need a lease longer than 7 days, you can contact Chameleon staff via the ticketing system to request an exception. The request must be submitted by the project PI and include a detailed justification for why a contiguous lease is needed. This information comes from the FAQs site and here is the link to the site: https://docs.chameleoncloud.org/en/latest/faq.html#what-if-i-need-a-lease-that-is-longer-than-the-limitation-ie-7-days","Both answers provide accurate information about the 7-day maximum lease duration, but they differ in their additional details. The Baseline model gives a more comprehensive overview of the standard process, including extension options and recommended workflows. The RAG model focuses on the exception process for longer leases, which is mentioned in the Ground Truth Answer but not as the primary information. The RAG model also provides a source link, which is helpful but not explicitly requested.",4,3,4,Baseline
Can I use my Chameleon allocation to mine cryptocurrency?,base_openai_model_answer,model_5_answer,"No — Chameleon Cloud’s Acceptable Use Policy explicitly prohibits using its resources for cryptocurrency mining. Mining isn’t allowed because: It provides no research value aligned with Chameleon’s NSF-funded mission. It consumes significant compute, power, and cooling resources that are meant for scientific and educational experiments.
It can cause scheduling delays for legitimate research workloads.
If you run mining workloads, your allocation can be suspended or revoked. Chameleon resources are intended only for open, publishable research and education projects.","You cannot use your Chameleon allocation to mine cryptocurrency. According to the documentation, 'Resources are allocated and charged in Service Units (SUs) which equate to one hour of wall clock time on a base bare metal server.' This suggests that allocations are intended for legitimate research purposes, not for cryptocurrency mining. Source: https://chameleoncloud.org/docs/allocation-and-charging/","The Baseline answer provides a more comprehensive explanation, aligning closely with the ground truth. It explicitly mentions the Acceptable Use Policy, explains why mining is prohibited, and details potential consequences. The RAG answer, while correct, is less detailed and relies on inference from allocation information rather than direct policy statements.",5,4,3,Baseline
How can I set up an experiment that requires a specific kernel version on a bare metal node?,base_openai_model_answer,model_5_answer,"Here’s how you can set up an experiment on Chameleon that requires a specific Linux kernel version on a bare metal node: 1. Reserve a bare metal node Use the Horizon GUI or CLI to create a lease for the hardware you need. Make sure you select the right site (CHI@TACC, CHI@UC, etc.) and node type. 2. Choose a base image If Chameleon already provides an image with the kernel you want, you can use it directly. Otherwise, start from a standard Chameleon-provided image (e.g., CentOS, Ubuntu). 3. Install the specific kernel
Once the node is active, SSH in and install your desired kernel:
For Ubuntu/Debian: sudo apt update sudo apt install linux-image-<version> For CentOS/RHEL: sudo yum install kernel-<version>
To see available versions: apt-cache search linux-image
# or yum list kernel 4. Set the default kernel After installation, update the bootloader to use your kernel by default: Ubuntu/Debian: sudo grub-set-default 0 sudo update-grub CentOS/RHEL: sudo grub2-set-default 0 sudo grub2-mkconfig -o /boot/grub2/grub.cfg (0 here is the index of the kernel in the boot menu; you can adjust it.) 5. Reboot and verify sudo reboot uname -r Confirm that the output matches your target kernel version. 6. (Optional) Create a custom image
If you’ll repeat this experiment later: Use cc-snapshot (or Horizon’s Create Snapshot function) to save your configured node as a reusable image. That way, you won’t have to reinstall the kernel each time. Tip: Since Chameleon gives you bare metal access, you can even build and boot a custom-compiled kernel from source if the version you need isn’t in the package repositories.","To set up an experiment that requires a specific kernel version on a bare metal node, you can follow these steps: Create a custom image with the desired kernel version using CC-Images tool or OpenStack Diskimage-builder. Use the openstack command to upload the custom image to the target site. Reserve a bare metal node and launch an instance on it. Configure the instance to use the custom image.This information comes from the 'Bring Your Own Images' section of the Chameleon documentation, which can be found here:https://docs.chameleoncloud.org/en/latest/user/bring_your_own_images.html","The Baseline answer provides a more comprehensive and detailed guide on setting up an experiment with a specific kernel version, closely aligning with the Ground Truth Answer. It covers launching an instance, installing the kernel, modifying the bootloader, and rebooting. The RAG answer, while mentioning custom images, lacks specific details on kernel installation and configuration. The Baseline answer is more helpful and consistent with the ground truth.",5,3,2,Baseline
What is the Trovi artifacts repository?,base_openai_model_answer,model_5_answer,"The Trovi artifacts repository is Chameleon Cloud’s platform for sharing and discovering experiment artifacts — things like datasets, code, images, configurations, and documentation that make research reproducible. Key purposes Publish your work so others can rerun or build on it. Find ready-to-use artifacts from other Chameleon users to speed up your own experiments. Support reproducibility by bundling the exact inputs, code, and instructions needed to replicate results. What you can store Source code (Git repos or archives) Prebuilt images (VM or bare metal snapshots) Experiment configurations and scripts Datasets or synthetic data generators Documentation / “how-to” instructions How it works Create an artifact in Trovi (via the Chameleon web portal). Upload files or link to external repositories. Add metadata: title, description, tags, authors, license. Choose visibility: private (project only), shared with specific users, or public. Other users can discover it via search or tags and launch it directly onto Chameleon resources. Why it’s useful Encourages open science and data sharing.
Lets you reproduce past experiments exactly, even months or years later. Helps meet reproducibility requirements for conferences/journals.","The Trovi artifacts repository is a service provided by Chameleon to share and access artifacts from other users on the testbed. It is integrated with the Jupyter Interface, allowing users to launch Trovi artifacts directly onto the interface and start using them. This information comes from the Chameleon documentation and can be found here: https://docs.chameleoncloud.org/en/latest/trovi.html","The baseline answer provides a more comprehensive and detailed explanation of Trovi, covering its purpose, contents, and benefits. It closely aligns with the ground truth, mentioning key aspects like reproducibility, experiment artifacts, and integration with Chameleon. The RAG answer, while accurate, is much briefer and lacks the depth of information provided by the baseline.",5,3,4,Baseline
How do I launch multiple nodes with one command using Heat templates?,base_openai_model_answer,model_5_answer,"You can do it with a single Heat (OpenStack Orchestration) template using a ResourceGroup that repeats an OS::Nova::Server definition N times. Here’s a minimal, copy‑pasteable example that launches any number of identical nodes: # multi-nodes.yaml heat_template_version: 2016-10-14 description: Launch N identical instances on Chameleon parameters: count: type: number default: 3 description: How many instances to launch image: type: string description: Image name or ID (e.g., CC-Ubuntu22.04) flavor: type: string description: Flavor name (e.g., baremetal, compute_skylake, gpu_a100, etc.) network: type: string description: Network name or ID to attach (your private network key_name: type: string description: Keypair to inject for SSH security_group: type: string default: default description: Security group name resources: servers: type: OS::Heat::ResourceGroup properties: count: { get_param: count } resource_def: type: OS::Nova::Server properties: # Use the ResourceGroup index to make unique names name: str_replace: template: node-%index% params: { } image: { get_param: image } flavor: { get_param: flavor } key_name: { get_param: key_name } networks: - network: { get_param: network }security_groups: - { get_param: security_group } user_data_format: RAW user_data: |#cloud-config package_update: true runcmd:- echo ""hello from $(hostname)"" > /etc/motd outputs: instance_names: description: Instance names created value: { get_attr: [servers, attributes, name] }
Launch with one command Replace parameter values with what you use on Chameleon (image/flavor/network names or IDs): openstack stack create \ --template multi-nodes.yaml \ --parameter count=5 \ --parameter image=""CC-Ubuntu22.04"" \ --parameter flavor=""compute_skylake"" \ --parameter network=""my-private-net"" \--parameter key_name=""mykey"" \--parameter security_group=""default"" \ my-multi-stack Check progress and outputs:openstack stack list
openstack stack show my-multi-stack -f yaml Notes & tips Works for VM and bare metal flavors—Heat/Nova treats bare metal nodes similarly (just pick a bare‑metal flavor).To add Floating IPs, create ports and a OS::Neutron::FloatingIP + FloatingIPAssociation in the resource_def (one per index). To run different init commands, edit the user_data cloud‑init block. Delete everything at once with: openstack stack delete --yes my-multi-stack","To launch multiple nodes with one command using Heat templates, you can use the OpenStack Heat orchestration service. According to the context, Complex Appliances in Chameleon are currently implemented using OpenStack Heat. You can create a YAML file using the Heat Orchestration Template (HOT) that defines your deployment and configuration. This template will specify the number of nodes, roles, and scripts to be executed on boot. Here is an example from the provided context: openstack --os-region-name <source_site [CHI@TACC or CHI@UC]> image save <image_name> --file <filename> This command saves an image to a local file. You can then use this image and template combination (Complex Appliances) to deploy your cluster with one click. Source: This information comes from the Complex Appliances guide on Chameleon's documentation site, specifically the section on using OpenStack Heat orchestration service. Here is the link to the site: https://docs.chameleoncloud.org/en/latest/complex_appliances.html","The baseline answer provides a more detailed and practical explanation of how to launch multiple nodes using Heat templates, including a sample template and command. The RAG answer, while mentioning Heat templates, lacks specific instructions and focuses more on saving images. The baseline answer is more helpful and aligned with the user's query.",5,2,3,Baseline
Where are the main Chameleon hardware sites located?,base_openai_model_answer,model_5_answer,"Chameleon Cloud’s two main hardware sites are:
CHI@TACC – at the Texas Advanced Computing Center in Austin, Texas CHI@UC – at the University of Chicago in Chicago, Illinois
These are the large-scale core facilities where most of Chameleon’s compute, storage, and network resources are hosted.
Additional Associate Sites at other institutions contribute specialized hardware, but CHI@TACC and CHI@UC are the primary operational sites.","The main Chameleon hardware sites are located at: Texas Advanced Computing Center (TACC) in Austin, TX- CHI@TACC University of Chicago (UC) in Chicago, IL - CHI@UC This information comes from the Getting Started guide and here is the link to the site: https://docs.chameleoncloud.org/en/latest/getting-started.html","Both answers provide accurate information about the main Chameleon hardware sites, but the Baseline answer is more comprehensive, mentioning both main sites and additional associate sites. The RAG answer is correct but less complete, omitting NCAR and edge computing sites. The Baseline answer aligns better with the ground truth, though it doesn't mention NCAR specifically. The RAG answer includes a helpful link, which is a plus.",4,3,3,Baseline
