ID,Category,Query,Ground Truth Answer,Model Name,Model Answer,ROUGE-L Score,BERTScore,Jaccard Score,Cosine Similarity
11,Factual Recall,How do I cite Chameleon in my research paper?,"To properly credit the Chameleon testbed in your research, you should include both an acknowledgement and a formal citation :   

Acknowledgement: Add the following sentence to your paper's acknowledgements section:

“Results presented in this paper were obtained using the Chameleon testbed supported by the National Science Foundation.”

Citation: Cite the primary Chameleon publication in your bibliography:

Kate Keahey, Jason Anderson, Zhuo Zhen, Pierre Riteau, Paul Ruth, Dan Stanzione, Mert Cevik, Jacob Colleran, Haryadi S. Gunawi, Cody Hammock, Joe Mambretti, Alexander Barnes, François Halbach, Alex Rocha and Joe Stubbs. ""Lessons Learned from the Chameleon Testbed"". In Proceedings of the 2020 USENIX Annual Technical Conference (USENIX ATC '20). USENIX Association. July 2020.   

A BibTex entry for this citation is also available on the Chameleon website.",model_1_answer,"To cite Chameleon in your research paper, you should use the following reference:Keahey, K., Anderson, J., Zhen, Z., Riteau, P., Ruth, P., Stanzione, D., ... & Stubbs, J. (2020). Lessons Learned from the Chameleon Testbed. In Proceedings of the 2020 USENIX Annual Technical Conference (USENIX ATC '20) (pp. July 2020). You can find this information in the provided context under the section ""How should I cite Chameleon?"". Source: https://chameleoncloud.org/papers.html",0.39795918367346933,0.8322308659553528,0.2875,0.5921034377913694
12,How-To,How do I attach a volume to my running instance?,"You can attach a persistent block storage volume to a running virtual machine on the KVM@TACC site. This feature is not available for bare metal nodes. The process is done through the GUI :   

Navigate to the Volumes > Volumes page in the KVM@TACC dashboard.

Locate the volume you wish to attach in the list. In its ""Actions"" dropdown menu, select Manage Attachments.

In the dialog box that appears, select your running instance from the dropdown menu.

Click the Attach Volume button.

After the volume is attached, you must log in to the instance via SSH to partition, format, and mount the new block device before you can use it.",model_1_answer,"To attach a volume to your running instance, follow the steps in the ""Working with Notebooks"" section. Specifically, you can use the new server methods for attaching the volume to an instance, which are now supported by python-chi. This information comes from the Tips and Tricks category on the Chameleon site: https://docs.chameleoncloud.org/tips-and-tricks.html",0.19999999999999998,0.772672712802887,0.10606060606060606,0.5312321894674561
13,Factual Recall,What is the maximum duration for a single lease reservation?,"The standard maximum duration for a single lease reservation that can be created through the web interface is seven days.   

However, there is some flexibility. You can extend an active lease for another seven days as long as you do so within 48 hours of its expiration and no other user has already reserved the hardware for that time. In exceptional circumstances where a longer, continuous reservation is required for an experiment, you can open a ticket with the help desk to request a special exception.",model_1_answer,"The maximum duration for a single lease reservation is 7 days. This information comes from the context provided under ""General"" section where it states: ""To create an on-demand lease, we can click next, because the form will auto-populate with defaults for the duration of the lease (the default is a one-day lease that starts immediately). If you want to change the duration of your lease or to make an advanced reservation, you can input the start date and time, number of days (maximum 7 days), and the end time."" Source: https://docs.chameleoncloud.org/en/latest/user/reservations.html",0.2127659574468085,0.7879151105880737,0.109375,0.46930376013782926
14,Negative Question,Can I use my Chameleon allocation to mine cryptocurrency?,"No, you cannot. Chameleon's Acceptable Use Policy explicitly prohibits running applications that mine cryptocurrency or use blockchain technology for personal financial gain.   

As a publicly funded research instrument supported by the National Science Foundation, Chameleon resources must be used exclusively for research and educational work. Cryptocurrency mining is considered a commercial or personal-gain activity that consumes significant resources and is therefore outside the testbed's mission. An exception may be granted for legitimate    

research into blockchain technology, but this requires advance, explicit approval from the Chameleon team.",model_1_answer,"You cannot use your Chameleon allocation to mine cryptocurrency. This information comes from the context provided under ""Note: SU Costs for standard flavors are calculated based on a 48-core host."" There is no specific mention of cryptocurrency mining in the provided documentation. Source: Experiment Implementation on Chameleon and Note section",0.15714285714285714,0.7770922780036926,0.07352941176470588,0.21873023653145415
15,Complex Query,How can I set up an experiment that requires a specific kernel version on a bare metal node?,"Chameleon's support for ""deep reconfigurability"" allows you to install and boot from a custom kernel on a bare metal node. The general process is as follows :   

Launch an Instance: Start by launching an instance from a ""whole disk image."" Most of the standard Chameleon-provided OS images (e.g., CC-Ubuntu20.04) are whole disk images suitable for this purpose.

Install Your Kernel: Once the instance is running, connect to it via SSH. Transfer your custom kernel and its associated modules to the instance and install them.

Modify the Bootloader: With root privileges, edit the bootloader configuration file (e.g., /boot/grub2/grub.cfg). Add a new menu entry that points to your new kernel and ramdisk files. You can also specify any custom kernel command-line parameters in this entry.

Reboot: Reboot the node. It will now boot using your specified custom kernel.

Note that for the cc-snapshot tool to work correctly with your custom environment, the size of your kernel's modules directory (/lib/modules/<kernel_version>) must be less than 4GB. ",model_1_answer,"To set up an experiment that requires a specific kernel version on a bare metal node, you can use the Bare Metal Experiment Pattern from the Trovi repository. Once launched, you can upload a script to the instance via SSH and run it using the run command. However, I don't know how to specify a specific kernel version during this process. This information comes from the quickstart guide on the Chameleon website: https://chameleoncloud.org/tutorials/quickstart-guide/.",0.18823529411764706,0.7795791625976562,0.12941176470588237,0.3766757570589803
16,Conceptual,What is the Trovi artifacts repository?,"Trovi is Chameleon's sharing portal and repository for digital research artifacts. Its primary purpose is to facilitate    

reproducible science by allowing users to package, share, and discover complete experiments.   

An artifact in Trovi is more than just code; it's a ""compute capsule"" that can contain a collection of components, including :   

Jupyter notebooks that orchestrate the experiment.

Links to the specific custom disk images needed.

Heat orchestration templates for multi-node deployments.

Datasets and documentation.

This packaging allows another researcher to find an experiment on Trovi and, with a single click, launch it directly on Chameleon to verify, replicate, or build upon the work.",model_1_answer,"The Trovi artifacts repository is a collection of publicly available digital artifacts that can be used for experimentation and education. It is integrated with the Jupyter Interface, allowing users to launch artifacts directly onto the interface or upload their own artifacts from Jupyter. The repository can be accessed by going to the ""Experiment"" tab on the Chameleon home page and clicking on the ""Trovi"" menu item. This information comes from the context provided and here is the link to the site: https://docs.chameleoncloud.org/en/latest/user/trovi.html",0.20512820512820512,0.7976863980293274,0.14634146341463414,0.44935413957827747
17,How-To,How do I launch multiple nodes with one command using Heat templates?,"You can automate the deployment of complex, multi-node topologies using OpenStack's Heat orchestration service. The process uses a declarative YAML file called a Heat Orchestration Template (HOT).   

Here is the workflow to launch a multi-node ""stack"" :   

Create a Reservation: First, you must have an active lease with enough nodes to accommodate your entire deployment (e.g., if your template defines 1 server and 3 clients, you need a reservation for at least 4 nodes).

Navigate to Orchestration: In the Chameleon dashboard, go to Project > Orchestration > Stacks.

Launch Stack: Click the Launch Stack button.

Select Template: Specify your Heat template. You can upload the YAML file, paste its contents directly, or provide a URL to a template hosted online.

Enter Parameters: The interface will prompt you to enter values for any parameters defined in the template. This will always include a name for the stack, your password, the ID of your reservation, and an SSH key. It may also include custom parameters, like the number of client nodes to create.

Launch: Click Launch. Heat will then automatically provision all the resources—instances, networks, routers, etc.—as defined in your template.",model_1_answer,"To launch multiple nodes with one command using Heat templates, you need to create a Complex Appliance which includes the image, template, and other configuration details. You can then use the Chameleon Command Line Interface (CLI) to deploy the Complex Appliance. This information comes from the 'Complex deployments' section under 'Advanced Features' in the provided context: https://docs.chameleoncloud.org/en/latest/quickstart.html#advanced-features",0.14728682170542637,0.7620174288749695,0.10309278350515463,0.3749354552777837
18,Factual Recall,Where are the main Chameleon hardware sites located?,"The main physical hardware sites for the Chameleon testbed are :   

CHI@TACC: Located at the Texas Advanced Computing Center (TACC) in Austin, Texas. This is the largest site and hosts the bulk of the large-scale compute resources.

CHI@UC: Hosted at the University of Chicago in Chicago, Illinois. This site has a focus on networking research and hosts a diverse range of GPUs and FPGAs.

CHI@NCAR: Situated at the National Center for Atmospheric Research in Boulder, Colorado. This site provides access to alternative processor architectures, such as ARM.

In addition, Chameleon includes a virtualized cloud, KVM@TACC, and a geographically distributed testbed for edge computing, CHI@Edge",model_1_answer,"The main Chameleon hardware sites located are: Texas Advanced Computing Center (TACC): Austin, TX - CHI@TACC
University of Chicago (UC): Chicago, IL - CHI@UC 
This information comes from the 'Warm Up: Pick Your Hardware' section and here is the link to the site: https://docs.chameleoncloud.org/en/latest/warm_up/pick_your_hardware.html",0.24390243902439027,0.7687751054763794,0.26666666666666666,0.47086880170401424
19,Troubleshooting,"Why can't my instance access the internet, even with a floating IP?","The most common reason an instance with a floating IP cannot be accessed from the internet is due to the host-based firewall running on the instance itself.   

Chameleon's supported operating system images (like Ubuntu and CentOS) are pre-configured with firewalld enabled by default for security. This firewall has restrictive rules that block most incoming connections from the public internet.   

To solve this, you must connect to your instance (e.g., via the web-based console) and explicitly open the ports for the services you need. For example, to allow incoming HTTP traffic, you would run a command like:
sudo firewall-cmd --zone=public --add-service=http --permanent
Followed by:
sudo firewall-cmd --reload",model_1_answer,Your instance may not be able to access the internet even with a floating IP if it has not finished launching yet. It's recommended to wait until your instance is running before associating a floating IP address. This information comes from the Chameleon Cloud documentation: https://docs.chameleoncloud.org/en/latest/user/associate_ip.html,0.15116279069767444,0.7468452453613281,0.09230769230769231,0.25627101458129664
20,Complex Query,How can I repeat a networking experiment I found on the Chameleon blog to ensure reproducibility?,"Chameleon provides a complete ecosystem to ensure experiments can be easily reproduced. If an experiment from the blog was packaged for reproducibility, the process would be :   

Find the Artifact on Trovi: The experiment should be packaged as an ""artifact"" on the Trovi sharing portal. This artifact bundles all the necessary components: the Jupyter notebook that orchestrates the experiment, links to the custom disk images containing the required software, and any necessary configuration scripts or data.   

Launch the Jupyter Notebook: From the Trovi page, you can launch the artifact directly into Chameleon's Jupyter environment.

Execute the Notebook: The notebook will contain executable code cells that use Chameleon's Python library (python-chi) to programmatically handle the entire experimental lifecycle. This includes reserving the correct type of hardware, launching instances from the specific custom image, configuring the required networking (e.g., isolated VLANs), running the experiment, and collecting the results.   

Use Daypass for Access (if needed): If you don't have a Chameleon account, the experiment's author can grant you temporary, scoped access to the testbed using the Daypass feature, allowing you to run the artifact and reproduce the results",model_1_answer,"To repeat a networking experiment found on the Chameleon blog, follow these steps: Go to the Trovi sharing portal to package and share the complete experimental environment. Find the shared environment that matches your desired experiment.
Replicate the experiment by launching the shared environment on Chameleon. This information comes from the Experiment Implementation on Chameleon page and the Trovi sharing portal section, which can be found here: https://docs.chameleoncloud.org/en/latest/Experiment_Implementation.html#collaboration-reproducibility",0.18656716417910446,0.7834817171096802,0.1326530612244898,0.597454000554809
1,Factual Recall,What is the purpose of the Chameleon Associate Sites?,"Chameleon Associate Sites are independently-owned and operated hardware resources at other institutions that are integrated into the main Chameleon testbed. Their purpose is twofold:   

For the Chameleon Community: They expand the testbed's scale and hardware diversity, offering unique capabilities not available at the core sites. For example, the site at Northwestern University (CHI@NU) provides nodes with 100G NICs for advanced networking experiments. These resources are available to all Chameleon users through the federated login system.   

For the Host Institution: They provide a turnkey solution for institutions to establish their own research cloud without the high cost and operational overhead of developing the infrastructure from scratch. The central Chameleon team handles user support, system upgrades, and provides a suite of operational tools, allowing the host institution to focus on managing its physical hardware.   

This federation is made possible by CHI-in-a-Box, a distributable software package containing the entire Chameleon infrastructure stack.",model_2_answer,"The purpose of the Chameleon Associate Sites is to allow providers to add resources to the Chameleon testbed while retaining their own project identity, and provide system administration of their resources with support from the Chameleon team. This type of provider will also use Chameleon user services, such as user/project management, user portal, resource discovery, and appliance catalog. This information comes from the context provided, specifically from the section 'Chameleon Associate: In this scenario a provider wants to add resources to the Chameleon testbed...'. Source: https://chameleoncloud.org/faq (Frequently Asked Questions)",0.20161290322580647,0.7878300547599792,0.10476190476190476,0.4809095757710541
2,Factual Recall,What specific model of GPU is available on the gpu_rtx_8000 nodes?,"The GPU available on these nodes is the NVIDIA Quadro RTX 8000. It is a high-end professional graphics card designed for complex visual computing, ray tracing, and AI workloads. Its key specifications include :   

GPU Memory: 48 GB of GDDR6 memory (scalable to 96 GB with NVLink).

CUDA Cores: 4,608 for parallel computing.

Tensor Cores: 576 for AI and deep learning acceleration.

RT Cores: 72 for hardware-accelerated, real-time ray tracing.",model_2_answer,"According to the provided context, the specific model of GPU available on the gpu_rtx_8000 nodes is not explicitly mentioned. However, it does mention that 'Nvidia RTX 6000' is supported. This information comes from the Chameleon documentation and can be found here: link to the page.",0.18333333333333332,0.7528778910636902,0.08163265306122448,0.19961757742354463
3,How-To,How do I create an isolated network for my instances using the GUI?,"You can create an isolated network, which functions as a private Layer-2 VLAN, through the Chameleon web dashboard. This allows you to run your own network services, like DHCP, without interfering with other users. Here is the step-by-step process :   

Create the Network and Subnet:

Navigate to the Network > Networks page and click the +Create Network button.

In the wizard, give your network a name.

On the Subnet tab, provide a name for the subnet and define its private IP address range in CIDR notation (e.g., 192.168.1.0/24).

On the Subnet Details tab, you can optionally configure DHCP allocation pools and specify DNS servers. Click Create to finish.

Create a Router:

Navigate to the Network > Routers page and click +Create Router.

Give the router a name and click Create Router.

Connect the Router to the Subnet:

On the Routers page, find your new router and click on its name.

Go to the Interfaces tab and click Add Interface.

In the dialog, select the subnet you created in the first step and click Submit.

Your isolated network is now configured and can be attached to instances during launch",model_2_answer,"I don't know how to create an isolated network for my instances using the GUI from the provided context. The context only mentions creating private Layer-2 VLANs for multi-node experiments under ""Advanced Networking"" but does not provide instructions on how to do it through the GUI. However, I can suggest checking the Chameleon Cloud Documentation's FAQs or Getting Started guide for more information on this topic.",0.11406844106463879,0.7408656477928162,0.08139534883720931,0.328917826507333
4,How-To,How do I find and use a pre-configured Jupyter notebook on Chameleon?,"You can find and use pre-configured Jupyter notebooks through Trovi, Chameleon's sharing portal for reproducible experiments.   

Find the Notebook: Navigate to the Trovi portal by selecting ""Trovi"" from the ""Experiment"" dropdown menu on the main Chameleon website. Here you will see a catalog of public ""artifacts,"" which are packaged experiments often containing Jupyter notebooks, scripts, and documentation.   

Use the Notebook: Once you find an artifact you want to use, click the ""Launch on Chameleon"" button. This will open the artifact, including its Jupyter notebook, directly within Chameleon's shared JupyterHub environment, which is accessible to all users with an active project allocation. The notebook will contain the code and instructions needed to replicate the experiment.   ",model_2_answer,"To find and use a pre-configured Jupyter notebook on Chameleon, follow these steps: Go to the Chameleon home page and click on the 'Experiment' tab. Select the 'Jupyter Interface' item from the dropdown menu. This will launch a new window which will begin loading the Jupyter server. This information comes from the Getting Started guide and can be found here: https://docs.chameleoncloud.org/en/latest/getting_started.html#jupyter-on-chameleon",0.2421052631578947,0.8150327801704407,0.12857142857142856,0.543674528278569
5,Troubleshooting,"My bare metal node is stuck in the ""deploying"" state for a long time. What should I do?","If a bare metal node remains in the ""deploying"" state for an extended period, it may be experiencing an issue during the boot or provisioning process. The recommended course of action is :   

Wait: The deployment process for a physical node can sometimes take several minutes. It is advisable to wait at least 10-15 minutes to see if the process completes on its own.

Contact Support: If the node is still stuck after this waiting period, you should open a ticket with the Chameleon Help Desk. The operations team can investigate the underlying cause of the deployment failure and resolve the issue. ",model_2_answer,"I don't know the specific solution for a bare metal node stuck in the 'deploying' state. However, I can suggest checking the documentation on troubleshooting or contacting the Help Desk for assistance. This information comes from the FAQs site: https://docs.chameleoncloud.org/en/latest/getting-started.html",0.2119205298013245,0.7613560557365417,0.11666666666666667,0.4144315359198698
6,Troubleshooting,"I get an ""Error 403: Forbidden"" when trying to use the OpenStack CLI. What's wrong?","An ""Error 403: Forbidden"" when using the OpenStack command-line interface (CLI) is most commonly caused by missing or improperly sourced credentials.   

To use the CLI, you must first authenticate your session. This is done by sourcing an OpenStack RC script (often called a novarc file) in your terminal. This file contains the necessary environment variables (like your username, password, project ID, and authentication URL) that the CLI tools need to communicate with the Chameleon API.

Solution: Ensure you have downloaded your project's OpenStack RC script from the Chameleon dashboard and have sourced it correctly in your terminal session (e.g., by running source your-project-openrc.sh) before executing any other commands.",model_2_answer,"The question is about an 'Error 403: Forbidden' when trying to use the OpenStack CLI. According to the context, the issue might be due to authentication problems. The user has sourced the CHI-openrc.sh file and entered their password, but still receives a 'The request you have made requires authentication.' error message. This information comes from the FAQs site: https://support.chameleoncloud.org/hc/en-us/articles/360037111333-Openstack-python-client-issue-The-request-you-have-made-requires-authentication-General-User-Questions To troubleshoot this issue, I would recommend checking the OpenStack documentation for troubleshooting authentication issues.",0.19811320754716982,0.7812049984931946,0.11392405063291139,0.3586042449573229
7,Conceptual,"What is ""CHI-in-a-Box""?","CHI-in-a-Box is a distributable software package that contains the complete, containerized infrastructure stack that powers the Chameleon testbed. It bundles the open-source cloud platform OpenStack with all of the Chameleon-specific customizations and operational tools needed to run a research-oriented cloud.   

These customizations include features not found in a standard OpenStack installation, such as bare metal snapshotting, network stitching for connecting to other testbeds, and advanced hardware reservation capabilities. CHI-in-a-Box is the technology that enables other institutions to set up their own Chameleon Associate Sites, allowing them to join the federated testbed without having to develop their own complex cloud software from scratch",model_2_answer,"CHI-in-a-box is a packaging of the implementation of the core services that together constitute the Chameleon testbed for experimental Computer Science research. It allows users to discover information, allocate resources, configure them, and monitor various types of metrics. This information comes from the CHI-in-a-box documentation, which can be found here: https://docs.chameleoncloud.org/en/latest/user/chi_in_a_box.html.",0.2346368715083799,0.7796702980995178,0.0410958904109589,0.3365882275528584
8,Conceptual,"What does it mean for Chameleon to support ""deep reconfigurability""?","""Deep reconfigurability"" is the core design principle of the Chameleon testbed. It means giving researchers an unparalleled level of control over the entire software stack on physical, non-virtualized hardware. This is achieved through several key features:   

Bare Metal Access: Researchers are given exclusive access to entire physical servers, ensuring that experiments are free from the performance interference (""noise"") that can occur in shared or virtualized environments.   

Full Administrative Privileges: Users have root (sudo) access on their reserved nodes. This allows them to install a custom operating system, modify the kernel, change bootloader configurations, and access the machine's serial console.   

This level of control is essential for many areas of computer science systems research where the experiment involves modifying the operating system itself or requires precise, repeatable performance measurements.",model_2_answer,"According to the context, 'deep reconfigurability' refers to the ability to fully control over physical hardware and software stack, enabling reproducible experimental research. This is mentioned in the first paragraph of the documentation: 'Chameleon provides researchers with deeply reconfigurable cloud infrastructure for systems, networking, distributed computing, and security research.' Source: Chameleon Cloud Documentation - https://chameleoncloud.org/docs/",0.16042780748663102,0.7762875556945801,0.10416666666666667,0.33272380270592905
